matchid,bo,PlayerId,PlayerName,kills,death,assist,kda,highestKDA,highestKillStreak,highestMultiKill,attendWarRate,highestAttendWarRate
9691,1,3520,FPXXiaolaohu,1,4,1,0.5,false,0,0,0.3333,false
9691,1,3641,FPXhaoye,2,3,4,2.0,false,0,0,1.0,false
9691,1,3547,FPXCare,1,2,4,2.5,false,0,0,0.8333,false
9691,1,1266,FPXLwx,1,2,3,2.0,false,0,0,0.6667,false
9691,1,2804,FPXLele,1,5,3,0.8,false,0,0,0.6667,false
9691,1,2027,WEBiubiu,0,0,6,6.0,false,0,0,0.375,false
9691,1,3515,WEHeng,1,2,12,6.5,false,0,0,0.8125,false
9691,1,3064,WEShanks,8,1,4,12.0,false,6,2,0.75,false
9691,1,1470,WEHope,7,3,5,4.0,false,2,2,0.75,false
9691,1,3006,WEIwandy,0,0,15,15.0,false,0,0,0.9375,false
9691,2,2027,WEBiubiu,0,5,1,0.2,false,0,0,0.25,false
9691,2,3515,WEHeng,1,3,1,0.6,false,0,0,0.5,false
9691,2,3064,WEShanks,2,4,1,0.7,false,0,0,0.75,false
9691,2,1470,WEHope,1,3,1,0.6,false,0,0,0.5,false
9691,2,3006,WEIwandy,0,2,2,1.0,false,0,0,0.5,false
9691,2,3520,FPXXiaolaohu,2,0,6,8.0,false,1,0,0.4706,false
9691,2,3641,FPXhaoye,3,2,8,5.5,false,1,0,0.6471,false
9691,2,3547,FPXCare,10,1,3,13.0,false,9,4,0.7647,false
9691,2,1266,FPXLwx,2,0,9,11.0,false,1,0,0.6471,false
9691,2,2804,FPXLele,0,1,10,10.0,false,0,0,0.5882,false
9691,3,3520,FPXXiaolaohu,0,3,6,2.0,false,0,0,0.4615,false
9691,3,3641,FPXhaoye,3,4,4,1.7,false,0,0,0.5385,false
9691,3,3547,FPXCare,3,3,6,3.0,false,1,0,0.6923,false
9691,3,1266,FPXLwx,6,2,5,5.5,false,3,2,0.8462,false
9691,3,2804,FPXLele,1,6,10,1.8,false,0,0,0.8462,false
9691,3,2027,WEBiubiu,2,3,9,3.6,false,0,0,0.6111,false
9691,3,3515,WEHeng,3,4,8,2.7,false,1,0,0.6111,false
9691,3,3064,WEShanks,5,2,6,5.5,false,2,2,0.6111,false
9691,3,1470,WEHope,7,2,9,8.0,false,3,2,0.8889,false
9691,3,3006,WEIwandy,1,2,16,8.5,false,0,0,0.9444,false
